trial,serial_time,parallel_time
1,0.010000,0.000000
2,0.000000,0.000000
3,0.005000,0.000000
4,0.000000,0.005000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.010000,0.000000
9,0.001000,0.000000
10,0.000000,0.000000
